rec_id,culture,sex,age,date_of_birth,title,given_name,surname,state,suburb,postcode,street_number,address_1,address_2,phone_number,soc_sec_id,blocking_number,family_role,_gt_id
rec-39-dup-4,usa,,,,pfc,micha ela,kn w1es,,toowong,2067,49,saxb  close,,03 77932493,8620 133,7,NoRole,rec-39
rec-110-dup-3,unk,f,,19750228,mr,cckeorge,strap,qld,commissioners flat,2135,18,bailes kourt,,613 68536894,6860498,8,NoRole,rec-110
rec-90-org,eng,f,10,20100501,,charlie,hameldon,,armidale,7250,13,fanning place,,08 70845470,9588435,5,NoRole,rec-90
rec-199-org,usa,,23,19970607,,thomas,holden,wa,lake jasper,5085,97,beattie crescent,,618 73750072,2393944,3,NoRole,rec-199
rec-17-org,eng,,35,19850528,,riley,royston,sa,penfield,2795,6,balfour crescent,,07 96319526,8091729,7,NoRole,rec-17
rec-74-org,dan,,22,19980911,ms,alannah,sorensen,wa,melville,7277,4,derrington crescent,,,2609109,3,NoRole,rec-74
rec-237-dup-3,ina,f,37,19831109,,timothy,,nsw,old bnrtambo,2420,169,newton street,,612 51514160,2292846,0,NoRole,rec-237
rec-218-dup-1,chi,f,24,19960831,,luck,a,wa,north lake,2256,71,buahns circuid,,618 81855908,4898676,4,NoRole,rec-218
rec-139-org,eng,,24,19960501,,david,herberts,,petersham,2132,162,powell street,,07 20435073,2606724,8,NoRole,rec-139
rec-113-org,usa,m,29,19910921,,charli,bowen,vic,pyalong,4401,35,woolnough street,,8 59760482,6058664,5,NoRole,rec-113
rec-41-dup-0,eng,,,19650322,,jes i a,winterbottom,nsw,burgooney,2602,39,alabaster street,merino downs rmb 1194,0228960557,3069984,1,NoRole,rec-41
rec-145-dup-2,usa,f,36,19840825,ms,diana,hikks,nsw,rocky glen,2067,279,fullagar crescend,,02 99444799,8957120,8,NoRole,rec-145
rec-203-dup-0,afg,m,20,20000706,,ja ob,lodhi,wa,dandan ing,3691,135,maurice place,fernd ale,08 49722032,9088543,3,NoRole,rec-203
rec-233-dup-0,ind,f,26,19940318,dr,patrick,mangesh,nsw,heddon greta,2303,10,piesse place,bass view,07 59411484,9850632,9,NoRole,rec-233
rec-21-dup-1,eng,m,2,19971226,,zach,rupert on,sa,allendale east,3472,41,mannheim street,suns et,07 21040401,38909 3,5,NoRole,rec-21
rec-31-dup-3,ger,f,34,19860707,,jacob,jauer,nsw,stanford merthyr,2333,31,minnett cloje,,612 42797304,8180499,6,NoRole,rec-31
rec-258-dup-1,chi,f,26,19492017,mr,joshua,yow,vic,cowacgie,3840,20,aston crescent,,04 85809731,3896433,1,NoRole,rec-258
rec-77-org,eng,,26,19940830,,amber,,nsw,blackville,2210,40,kruse place,,02 40706592,5169930,5,NoRole,rec-77
rec-100-org,eng,f,30,19900909,,aaliyah,proudfoot,nsw,,4133,87,wylly place,,2 91347441,1765693,4,NoRole,rec-100
rec-285-dup-0,usa,f,32,19880207,,kyle,crostby,qld,corlett,2289,60,glenelg ztreet,,03 05099911,9041349,3,NoRole,rec-285
rec-213-dup-2,ger,f,,19450923,,bianca,thofber,,salisbry,6210,62,o'loghlen street,,02 80569238,8431755,8,NoRole,rec-213
rec-143-dup-1,usa,,,19640729,,hug,moss,,blff,2 40,11,brookman street,,04 75712869,3546689,6,NoRole,rec-143
rec-172-dup-1,eng,m,35,19850625,,dant,samuelson,,woonkarrah,3212,8,toolambi strit,,07 26623775,2756139,9,NoRole,rec-172
rec-176-dup-2,ser,,9,20110222,hon,reni,crnocckorac,qld,columia,4171,24,kambalda crescent,windy gully,3 19410373,3623695,9,NoRole,rec-176
rec-193-dup-0,chi,f,23,20100210,dr,william,zhiangu,nsw,concord repatriation hospital,,9,william street,the moorings,02 57972328,2494353,9,NoRole,rec-193
rec-93-dup-1,usa,,21,,,jak,osbo ne,nsw,castle  agh,238,2,richards street,,02 36019643,1988689,0,NoRole,rec-93
rec-207-dup-1,ira,,27,19931211,dr,lucy,nazari,nsw,gwabegar,4018,6,garrard street,apt 27,2 82923173,3277178,3,NoRole,rec-207
rec-1-org,,f,,19860707,mr,kelsey,oddy,,ascot,2147,14,anthony rolfe street,waikare,04 62675811,3778629,8,NoRole,rec-1
rec-174-org,usa,,,19900730,,georgia,golden,vic,newhaven,2612,23,lampard circuit,,618 52734090,6858460,1,NoRole,rec-174
rec-154-org,cze,f,34,19860614,,jessica,rada,vic,neerim north,3161,28,antill street,wondilibi,08 17912836,6450728,7,NoRole,rec-154
rec-134-dup-0,unk,m,29,1991 915,,lucas,strang way,vic,albanv ale,222,39,givens street,,08 697 0178,5339880,2,NoRole,rec-134
rec-227-dup-0,cze,m,23,19970 19,,kaitlin,ves ela,qld,harriet,3942,18,cassini  street,schofield hill,3 194 5925&,6627319,1,NoRole,rec-227
rec-58-dup-1,usa,f,31,,ms,stephanie,nivs,nsw,jintera,2122,24,pickles street,,2 76611290,2817765,2,NoRole,rec-58
rec-136-dup-0,ind,m,,19180903,ms,kalum,utpat,vic,beveridke,2135,22,pieman crescent,,08 16181954,7508587,6,NoRole,rec-136
rec-195-org,rus,f,34,19860805,mr,ebonie,berliawsky,qld,mount wyatt,2010,228,preston street,,03 23441865,8496319,7,NoRole,rec-195
rec-207-dup-0,ira,,27,19931211,dr,jordan,nazari,nsw,gwabegar,4018,16,garrard street,apt 27,2 82923173,3277178,3,NoRole,rec-207
rec-241-dup-3,swe,f,3,19900525,,jake,ottestad,nsw,bellata,26 2,127,bourke place,hazel hi l,2 92598113,6700773,7,NoRole,rec-241
rec-82-dup-0,ger,m,,19201117,mr,blakeston,oeatel,qld,pelmont,2034,55,tarralea creskent,,613 96999072,7975491,3,NoRole,rec-82
rec-176-dup-3,ser,,9,20110222,hon,reni,crnogorac,qld,columbia,4171,24,kambalda krescent,indy guli,3 19410373,3623695,9,NoRole,rec-176
rec-158-dup-2,chi,m,27,19931005,,katherine,sstu,vic,apollo pay,2170,43,lutana street,,08 04996170,9262177,0,NoRole,rec-158
rec-76-dup-0,nor,f,32,19881024,ms,rubi,vajyahberg,vik,gatum,3440,18,wargila place,,618 57373900,9558794,0,NoRole,rec-76
rec-122-org,usa,m,12,20080516,,sara,hart,nsw,st johns park,3634,4,steffanoni circuit,,07 47034469,1572685,8,NoRole,rec-122
rec-269-dup-0,ind,,31,19890615,,sophie,trupti,sa,flagstaf ill,4702,84,plamey crescent,,04 06643764,4037112,7,NoRole,rec-269
rec-238-dup-2,eng,,,19010610,,ol ver,triggs,qld,asc o t,3031,23,o'reilly street,,3 83406601,6973666,0,NoRole,rec-238
rec-3-dup-0,usa,f,31,19890314,ms,,klayton,njw,karagabal,3228,8,bragg ztreet,sek 80,02 52693297,6633757,5,NoRole,rec-3
rec-83-dup-1,ger,f,36,19840 511,ms,samantha,kneib,,woor ee,4122,13,yambina c escent,,0887041763,810 1835,5,NoRole,rec-83
rec-133-dup-0,ind,m,26,19940527,,sam,zridaran,nsw,west wyalong,6285,50,maribyrnong afenue,,612 41101572,6324183,1,NoRole,rec-133
rec-115-dup-1,abo,m,42,19781217,mr,teklen,worosun,a,bookara,2066,8,maclean street,,08 58045072,3180218,1,NoRole,rec-115
rec-296-dup-2,usa,f,22,19981223,,emiliy,nguyen,,cronulla,2199,6,postlecrcuit,,08 75955873,9123110,3,NoRole,rec-296
rec-241-dup-4,swe,f,30,19900525,,j ke,ottestad,n sw,bellata,2652,127,bourke  lace,hazel hill,2 92598113,670 773,7,NoRole,rec-241
rec-119-dup-0,chi,f,36,19871028,,ellq,hong,nsw,bellthorpe,5016,19,florey drive,,612 53377860,4048741,1,NoRole,rec-119
rec-246-org,ger,f,34,19860613,mr,latham,halder,wa,malmalling,5085,2,kenyon circuit,the rocks,08 79174399,3027297,6,NoRole,rec-246
rec-4-org,usa,f,28,19920701,ms,stephanie,stafford,nsw,sylvania,6323,27,fimister circuit,,03 62387446,5650504,9,NoRole,rec-4
rec-276-dup-1,ind,f,26,19940206,ms,naomi,keerthi,n5,wirrim ah,4019,3 3,whinham place,,612 68304749,8569 10,1,NoRole,rec-276
rec-47-dup-0,usa,m,30,19900813,,w jll,welch,nsw,howlong,42 5,93,watli ng p ace,,612 81131473,8321904,3,NoRole,rec-47
rec-179-dup-1,eng,f,29,19910219,,jakkson,ztpeight,qld,cania,6052,2,zerwin place,,3 48893149,7135925,5,NoRole,rec-179
rec-266-org,usa,f,,19340620,,mikaela,munoz,vic,coleraine,3860,6,bayly place,,618 20377912,8945549,9,NoRole,rec-266
rec-196-dup-2,chi,,,,ms,isabella,ka,nsw,empire vale,3770,24,harcourt street,leonawood,2 25487180,8360664,2,NoRole,rec-196
rec-79-dup-2,usa,f,29,19910927,,emmet,benzon,nsw,craven,6105,124,kuginya creskent,,2 34233163,1493339,7,NoRole,rec-79
rec-120-org,eng,,32,19880411,ms,jessica,clawson,vic,yambuk,2478,3,jabanungga avenue,,618 60557164,1954562,5,NoRole,rec-120
rec-94-dup-2,ind,f,25,19950326,ms,andar,garlanka,sa,brahma lodge,3006,7,durville crescent,,7 31845890,8239738,6,NoRole,rec-94
rec-38-dup-2,ind,f,30,19901121,mr,timothy,meahkhia,wa,malaccka,2166,23,kingsford smith drive,,618 11814415,8046626,6,NoRole,rec-38
rec-90-dup-0,eng,f,10,20100501,,charl e,hameldon,,armi aJe,72S,13,fanning place,,08 70845470,9588435,5,NoRole,rec-90
rec-12-dup-2,iri,f,31,19890911,,blake,piahne,qld,barlows hill,2210,4,fillip afenue,,613 27468450,3820847,9,NoRole,rec-12
rec-61-dup-0,unk,f,12,19990713,,emma,aart,qld,mckinlay,4680,13,bougainville street,,613 32627232,2786780,7,NoRole,rec-61
rec-220-dup-1,usa,,,19180324,mr,oliver,mklain,wa,nampeelup,6167,24,gilmore crescent,,8 66575598,6955690,8,NoRole,rec-220
rec-86-org,unk,f,33,19870614,,robert,streich,qld,goovigen,2209,38,manning street,,03 82140210,3999843,5,NoRole,rec-86
rec-217-org,unk,f,8,20120122,,olivia,stranger,,broken hill,2060,,astrolabe street,ainslie chmbrs,07 21889784,2300077,3,NoRole,rec-217
rec-244-dup-3,,f,3 2,19880213,,tahlia,vincent,vic,arthurs  reek,3160,34,castieau street,,,6861 90,2,NoRole,rec-244
rec-107-org,unk,f,37,19831107,,william,scollard,sa,thornleigh,2260,10,yarrawonga street,edenlea retirement,07 81381426,8311287,5,NoRole,rec-107
rec-286-dup-0,usa,f,28,19920820,,freya,davenport,nsw,box hill,2089,166,totterdell street,,07 69061410,2680942,6,NoRole,rec-286
rec-60-org,ser,f,35,19850617,,emma,zerec,vic,neerim,2118,43,pratt place,,618 17094098,4920981,7,NoRole,rec-60
rec-214-dup-3,eng,f,31,198907 4,,ru y,rayne,act,banks,4014,3,penningto n crescent,ellwood,0237749913,355 674,5,NoRole,rec-214
rec-48-dup-2,eng,f,24,19960902,ms,apy,tracey,nsw,talmalmo,3564,74,catchpole street,kularoo garden,02 38786154,3147831,8,NoRole,rec-48
rec-297-dup-1,chi,f,27,1993713,,tob,f,wa,shenton park,4114,224,rehfisc h close,,08 43688605,5721749,2,NoRole,rec-297
rec-273-org,afg,f,26,19940221,ms,carlin,wazir,vic,kerrie,4013,21,allport street,,08 94319032,3304515,1,NoRole,rec-273
rec-218-dup-3,chi,f,24,19960831,,luk,a,wa,north lake,2256,71,burns cirkuit,,618 81855908,4898676,4,NoRole,rec-218
rec-258-org,chi,f,26,19940417,mr,joshua,yow,vic,cowangie,3840,20,aston crescent,,04 85809731,3897433,1,NoRole,rec-258
rec-104-dup-3,usa,m,22,19981121,,ali via,qui n,nsw,fai1f rd,2145,32,allambee street,kiola,0259143904,7283048,8,NoRole,rec-104
rec-113-dup-2,usa,m,29,19910921,,kharli,poen,vic,pyalonk,4401,35,woolnoukh street,,8 59760482,6058664,5,NoRole,rec-113
rec-129-dup-0,ind,f,35,19850729,ms,elysds,tarachandani,,mansfield park,2291,137,macdowell street,banyula retirement fillake,07 22804673,8682177,7,NoRole,rec-129
rec-211-dup-0,gre,f,34,,,james,yannopoulos,wa,gooellabah,221,5z,kootingal street,tallangatta med ical centre,618 60950419,8800149,3,NoRole,rec-211
rec-186-dup-2,usa,f,41,19790328,pfc,lucast,kainj,qld,domvile,4301,1,appel crescent,,613 42975257,6827575,3,NoRole,rec-186
rec-198-dup-1,eng,f,28,19921018,,nikita,fra e r,ql,shelly beach,5046,10,,woodla nds house,613 30678140,3209176,4,NoRole,rec-198
rec-271-dup-4,chi,f,19,20010511,ms,isabella,kai,vif,katandra,4064,27,eldridge street,,618 02390778,9772281,5,NoRole,rec-271
rec-180-dup-2,unk,f,30,19900318,mr,harrison,streckfuss,qld,marbeg,2224,30,wayaelbpleace,northpoint,613 20536399,1610382,3,NoRole,rec-180
rec-294-org,usa,,9,20110308,,alexander,holcomb,vic,charlton,,137,dumaresq street,,08 14598660,7585278,2,NoRole,rec-294
